
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001179                       # Number of seconds simulated (Second)
simTicks                                   1179346500                       # Number of ticks simulated (Tick)
finalTick                                  1179346500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.39                       # Real time elapsed on the host (Second)
hostTickRate                                103568765                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1226272                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   250268                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     465099                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2358694                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5810349                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6152                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5677643                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4085                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               520298                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            851810                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  80                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2230914                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.544985                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.499461                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    794445     35.61%     35.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    196724      8.82%     44.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    226486     10.15%     54.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    232636     10.43%     65.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    195496      8.76%     73.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    197524      8.85%     82.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    211766      9.49%     92.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    116857      5.24%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     58980      2.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2230914                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   72856     64.25%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     64.25% # attempts to use FU when none available (Count)
