
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001990                       # Number of seconds simulated (Second)
simTicks                                   1989731500                       # Number of ticks simulated (Tick)
finalTick                                  1989731500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.20                       # Real time elapsed on the host (Second)
hostTickRate                                163090104                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1223200                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   233589                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     434102                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3979464                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5703252                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6146                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5602749                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2180                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               413195                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            702932                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  74                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3748344                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.494726                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.145988                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2101488     56.06%     56.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    356705      9.52%     65.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    333330      8.89%     74.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    242199      6.46%     80.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    208247      5.56%     86.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    183829      4.90%     91.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    195977      5.23%     96.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     87760      2.34%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     38809      1.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3748344                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51932     77.28%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     77.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   1023      1.52%     78.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     78.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     12      0.02%     78.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     1      0.00%     78.82% # attempts to use FU when none available (Count)
