
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001921                       # Number of seconds simulated (Second)
simTicks                                   1921061500                       # Number of ticks simulated (Tick)
finalTick                                  1921061500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.30                       # Real time elapsed on the host (Second)
hostTickRate                                156143741                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1224224                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   231635                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     430471                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3842124                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5561421                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6121                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5499921                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1483                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               271339                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            460117                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  49                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3618203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.520070                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.146439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1998714     55.24%     55.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    348277      9.63%     64.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    326491      9.02%     73.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    241912      6.69%     80.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    206807      5.72%     86.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    180096      4.98%     91.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    199874      5.52%     96.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     82282      2.27%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     33750      0.93%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3618203                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   47288     77.19%     77.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     77.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     77.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     77.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     77.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     77.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     77.19% # attempts to use FU when none available (Count)
